팩토링ID,채권ID,법인명,고객ID,통화,팩토링사,팩토링실행일,팩토링금액,수수료율,실수령액,상환유형
FT0037,AR0053,중국법인,OC005,CNY,BNP Paribas Factor,2025-06-18,502458.02,0.0212,491805.91,소구
FT0038,AR0056,중국법인,OC005,CNY,신한팩토링,2025-08-24,1440172.38,0.0175,1414969.36,소구
FT0039,AR0056,중국법인,OC005,CNY,HSBC Trade Finance,2025-08-24,312245.54,0.0302,302815.72,비소구
FT0040,AR0057,독일법인,OC006,EUR,BNP Paribas Factor,2025-02-07,33825.81,0.032,32743.38,소구
FT0041,AR0058,독일법인,OC006,EUR,신한팩토링,2025-07-12,22860.35,0.029,22197.4,비소구
FT0042,AR0059,독일법인,OC006,EUR,신한팩토링,2025-04-21,96704.4,0.0206,94712.29,비소구
FT0043,AR0061,독일법인,OC006,EUR,IBK기업은행,2025-03-22,37209.7,0.0374,35818.06,소구
FT0044,AR0062,독일법인,OC006,EUR,신한팩토링,2025-04-19,31413.66,0.0193,30807.38,소구
FT0045,AR0063,독일법인,OC006,EUR,신한팩토링,2025-03-15,9232.44,0.0431,8834.52,비소구
FT0046,AR0064,독일법인,OC006,EUR,신한팩토링,2025-02-24,60753.98,0.0379,58451.4,비소구
FT0047,AR0066,독일법인,OC006,EUR,BNP Paribas Factor,2025-03-17,80275.84,0.0184,78798.76,비소구
FT0048,AR0067,베트남법인,OC007,VND,우리은행 무역금융,2025-08-05,653291.29,0.0377,628662.21,소구
FT0049,AR0067,베트남법인,OC007,VND,BNP Paribas Factor,2025-08-09,634675.59,0.0411,608590.42,비소구
FT0050,AR0071,베트남법인,OC007,VND,신한팩토링,2025-06-07,864767.42,0.0408,829484.91,비소구
FT0051,AR0072,베트남법인,OC007,VND,신한팩토링,2025-08-13,1910275.52,0.0201,1871878.98,소구
FT0052,AR0073,베트남법인,OC007,VND,신한팩토링,2025-06-24,633155.52,0.0193,620935.62,소구
FT0053,AR0074,중국법인,OC008,CNY,BNP Paribas Factor,2025-03-31,1034316.56,0.0204,1013216.5,소구
FT0054,AR0075,중국법인,OC008,CNY,BNP Paribas Factor,2025-05-29,1455992.8,0.0248,1419884.18,비소구
FT0055,AR0076,중국법인,OC008,CNY,IBK기업은행,2025-02-18,2595936.73,0.0334,2509232.44,소구
FT0056,AR0077,중국법인,OC008,CNY,HSBC Trade Finance,2025-03-30,1076450.47,0.0314,1042649.93,소구
FT0057,AR0077,중국법인,OC008,CNY,IBK기업은행,2025-03-17,409789.54,0.0202,401511.79,소구
FT0058,AR0079,중국법인,OC008,CNY,BNP Paribas Factor,2025-08-05,385504.66,0.022,377023.56,소구
FT0059,AR0079,중국법인,OC008,CNY,우리은행 무역금융,2025-08-19,284373.34,0.0434,272031.54,소구
FT0060,AR0080,중국법인,OC008,CNY,IBK기업은행,2025-02-06,2513802.44,0.0383,2417523.81,소구
FT0061,AR0081,중국법인,OC008,CNY,BNP Paribas Factor,2025-02-16,1763333.04,0.0237,1721542.05,비소구
FT0062,AR0082,중국법인,OC008,CNY,HSBC Trade Finance,2025-05-08,1025891.91,0.0183,1007118.09,비소구
FT0063,AR0084,싱가포르법인,OC009,SGD,우리은행 무역금융,2025-03-19,65675.89,0.0216,64257.29,소구
FT0064,AR0085,싱가포르법인,OC009,SGD,신한팩토링,2025-02-24,69331.05,0.0157,68242.55,비소구
FT0065,AR0087,싱가포르법인,OC009,SGD,HSBC Trade Finance,2025-08-11,46740.47,0.0438,44693.24,소구
FT0066,AR0088,싱가포르법인,OC009,SGD,신한팩토링,2025-06-08,6398.11,0.0282,6217.68,비소구
FT0067,AR0089,싱가포르법인,OC009,SGD,BNP Paribas Factor,2025-04-23,14644.73,0.0336,14152.67,소구
FT0068,AR0090,싱가포르법인,OC009,SGD,우리은행 무역금융,2025-06-24,25430.44,0.0334,24581.06,소구
FT0069,AR0091,싱가포르법인,OC009,SGD,BNP Paribas Factor,2025-07-29,64381.63,0.017,63287.14,비소구
FT0070,AR0092,싱가포르법인,OC009,SGD,우리은행 무역금융,2025-06-24,52373.35,0.0181,51425.39,소구
FT0071,AR0094,싱가포르법인,OC010,SGD,IBK기업은행,2025-04-23,28710.05,0.0158,28256.43,비소구
FT0072,AR0095,싱가포르법인,OC010,SGD,HSBC Trade Finance,2025-01-17,101434.94,0.0161,99801.84,소구
FT0073,AR0096,싱가포르법인,OC010,SGD,BNP Paribas Factor,2025-03-19,61474.42,0.0345,59353.55,소구
FT0074,AR0098,싱가포르법인,OC010,SGD,IBK기업은행,2025-05-26,42915.07,0.029,41670.53,비소구
FT0075,AR0099,싱가포르법인,OC010,SGD,신한팩토링,2025-05-11,57645.77,0.0175,56636.97,비소구
FT0076,AR0102,싱가포르법인,OC010,SGD,HSBC Trade Finance,2025-05-21,3120.06,0.0287,3030.51,소구
FT0077,AR0103,중국법인,OC011,CNY,우리은행 무역금융,2025-04-18,209818.84,0.0198,205664.43,소구
FT0078,AR0106,중국법인,OC011,CNY,우리은행 무역금융,2025-03-13,1230994.86,0.0343,1188771.74,비소구
FT0079,AR0106,중국법인,OC011,CNY,신한팩토링,2025-03-10,308681.39,0.0151,304020.3,소구
FT0080,AR0107,중국법인,OC011,CNY,IBK기업은행,2025-03-09,2172519.26,0.017,2135586.43,소구
FT0081,AR0109,중국법인,OC011,CNY,IBK기업은행,2025-07-09,1750501.93,0.0177,1719518.05,소구
FT0082,AR0110,중국법인,OC011,CNY,신한팩토링,2025-02-04,1081163.93,0.0237,1055540.34,소구
FT0083,AR0111,중국법인,OC011,CNY,우리은행 무역금융,2025-08-09,1474220.57,0.0247,1437807.32,소구
FT0084,AR0112,중국법인,OC011,CNY,우리은행 무역금융,2025-05-25,2907178.88,0.0151,2863280.48,소구
FT0085,AR0114,싱가포르법인,OC012,SGD,IBK기업은행,2025-06-18,29756.36,0.024,29042.21,소구
FT0086,AR0115,싱가포르법인,OC012,SGD,우리은행 무역금융,2025-02-23,75045.92,0.0335,72531.88,소구
FT0087,AR0116,싱가포르법인,OC012,SGD,우리은행 무역금융,2025-01-24,44292.74,0.0181,43491.04,비소구
FT0088,AR0119,미국법인,OC013,USD,우리은행 무역금융,2025-05-28,17631.86,0.0257,17178.72,소구
FT0089,AR0120,미국법인,OC013,USD,우리은행 무역금융,2025-07-10,84151.59,0.028,81795.35,소구
FT0090,AR0121,미국법인,OC013,USD,HSBC Trade Finance,2025-07-09,41352.75,0.0304,40095.63,소구
FT0091,AR0123,미국법인,OC013,USD,HSBC Trade Finance,2025-05-07,51899.64,0.0166,51038.11,비소구
FT0092,AR0123,미국법인,OC013,USD,우리은행 무역금융,2025-04-30,19826.76,0.0361,19111.01,소구
FT0093,AR0125,미국법인,OC013,USD,IBK기업은행,2025-02-24,84920.45,0.0223,83026.72,소구
FT0094,AR0126,미국법인,OC013,USD,IBK기업은행,2025-05-26,82181.09,0.0151,80940.16,비소구
FT0095,AR0127,미국법인,OC013,USD,신한팩토링,2025-05-11,38151.65,0.0257,37171.15,소구
FT0096,AR0128,미국법인,OC013,USD,IBK기업은행,2025-02-17,66500.85,0.0418,63721.11,비소구
FT0097,AR0129,미국법인,OC013,USD,우리은행 무역금융,2025-05-10,26567.03,0.0349,25639.84,소구
FT0098,AR0134,베트남법인,OC014,VND,신한팩토링,2025-03-04,597121.85,0.0297,579387.33,소구
FT0099,AR0135,베트남법인,OC014,VND,우리은행 무역금융,2025-04-03,1228830.5,0.03,1191965.58,소구
FT0100,AR0137,베트남법인,OC014,VND,IBK기업은행,2025-03-20,643291.9,0.0244,627595.58,소구
FT0101,AR0139,미국법인,OC015,USD,IBK기업은행,2025-08-21,43990.95,0.0192,43146.32,소구
FT0102,AR0141,미국법인,OC015,USD,IBK기업은행,2025-02-18,22522.47,0.0248,21963.91,비소구
FT0103,AR0142,미국법인,OC015,USD,신한팩토링,2025-05-21,63817.38,0.0164,62770.77,소구
FT0104,AR0142,미국법인,OC015,USD,신한팩토링,2025-05-13,27361.09,0.0396,26277.59,비소구
FT0105,AR0143,미국법인,OC015,USD,HSBC Trade Finance,2025-06-29,86779.46,0.0366,83603.33,소구
FT0106,AR0146,미국법인,OC015,USD,HSBC Trade Finance,2025-05-14,48051.14,0.0356,46340.52,소구
FT0107,AR0148,미국법인,OC015,USD,우리은행 무역금융,2025-01-30,45972.04,0.0392,44169.94,소구
FT0108,AR0149,미국법인,OC015,USD,신한팩토링,2025-05-12,12871.15,0.0263,12532.64,비소구
FT0109,AR0149,미국법인,OC015,USD,BNP Paribas Factor,2025-05-19,4923.21,0.0288,4781.42,비소구
FT0110,AR0150,독일법인,OC016,EUR,신한팩토링,2025-01-04,6307.23,0.0204,6178.56,소구
FT0111,AR0151,독일법인,OC016,EUR,BNP Paribas Factor,2025-01-08,67132.29,0.0175,65957.47,소구
FT0112,AR0152,독일법인,OC016,EUR,신한팩토링,2025-03-10,41688.31,0.0167,40992.12,비소구
FT0113,AR0153,독일법인,OC016,EUR,HSBC Trade Finance,2025-07-20,10136.62,0.0217,9916.66,소구
FT0114,AR0154,독일법인,OC016,EUR,IBK기업은행,2025-05-26,12426.13,0.0266,12095.59,소구
FT0115,AR0156,중국법인,OC017,CNY,HSBC Trade Finance,2025-04-07,1568028.83,0.0203,1536197.84,소구
FT0116,AR0156,중국법인,OC017,CNY,신한팩토링,2025-04-10,442050.04,0.0374,425517.37,소구
FT0117,AR0159,중국법인,OC017,CNY,BNP Paribas Factor,2025-05-24,1085718.03,0.0448,1037077.86,비소구
FT0118,AR0160,중국법인,OC017,CNY,BNP Paribas Factor,2025-06-21,1134272.51,0.0198,1111813.91,비소구
FT0119,AR0161,중국법인,OC017,CNY,BNP Paribas Factor,2025-03-16,1123093.95,0.0155,1105685.99,비소구
FT0120,AR0162,중국법인,OC017,CNY,우리은행 무역금융,2025-03-24,429115.92,0.0379,412852.43,비소구
FT0121,AR0163,중국법인,OC017,CNY,IBK기업은행,2025-04-02,1084916.82,0.0412,1040218.25,소구
FT0122,AR0164,중국법인,OC017,CNY,IBK기업은행,2025-03-20,933920.52,0.0446,892267.66,소구
FT0123,AR0165,중국법인,OC017,CNY,신한팩토링,2025-06-14,444092.36,0.0317,430014.63,소구
FT0124,AR0166,중국법인,OC017,CNY,우리은행 무역금융,2025-05-06,661956.28,0.0313,641237.05,소구
FT0125,AR0167,중국법인,OC017,CNY,HSBC Trade Finance,2025-08-22,222230.55,0.0278,216052.54,소구
FT0126,AR0168,싱가포르법인,OC018,SGD,신한팩토링,2025-02-23,58541.02,0.016,57604.36,소구
FT0127,AR0170,싱가포르법인,OC018,SGD,신한팩토링,2025-03-03,61512.19,0.0385,59143.97,소구
FT0128,AR0171,싱가포르법인,OC018,SGD,HSBC Trade Finance,2025-07-09,19577.39,0.0344,18903.93,비소구
FT0129,AR0172,싱가포르법인,OC018,SGD,IBK기업은행,2025-05-15,11344.35,0.0207,11109.52,비소구
FT0130,AR0172,싱가포르법인,OC018,SGD,우리은행 무역금융,2025-05-14,6215.91,0.032,6017.0,소구
FT0131,AR0173,싱가포르법인,OC018,SGD,IBK기업은행,2025-04-30,12300.97,0.0423,11780.64,비소구
FT0132,AR0175,싱가포르법인,OC018,SGD,IBK기업은행,2025-06-29,58716.27,0.0236,57330.57,소구
FT0133,AR0176,싱가포르법인,OC018,SGD,우리은행 무역금융,2025-08-07,8317.6,0.0441,7950.79,비소구
FT0134,AR0178,싱가포르법인,OC018,SGD,신한팩토링,2025-01-09,41774.74,0.0301,40517.32,비소구
FT0135,AR0179,독일법인,OC019,EUR,IBK기업은행,2025-02-13,47821.53,0.0185,46936.83,비소구
FT0136,AR0180,독일법인,OC019,EUR,우리은행 무역금융,2025-07-18,101641.44,0.0418,97392.83,소구
FT0137,AR0182,독일법인,OC019,EUR,HSBC Trade Finance,2025-01-26,55759.54,0.0246,54387.86,비소구
FT0138,AR0184,독일법인,OC019,EUR,BNP Paribas Factor,2025-03-24,83572.94,0.0182,82051.91,비소구
FT0139,AR0185,독일법인,OC019,EUR,BNP Paribas Factor,2025-04-02,106189.7,0.0433,101591.69,소구
FT0140,AR0186,독일법인,OC019,EUR,신한팩토링,2025-04-05,10590.35,0.038,10187.92,소구
FT0141,AR0187,독일법인,OC019,EUR,우리은행 무역금융,2025-06-19,106652.2,0.0258,103900.57,소구
FT0142,AR0190,독일법인,OC020,EUR,HSBC Trade Finance,2025-09-02,36573.42,0.0391,35143.4,비소구
FT0143,AR0191,독일법인,OC020,EUR,IBK기업은행,2025-03-31,79107.87,0.0277,76916.58,소구
FT0144,AR0192,독일법인,OC020,EUR,우리은행 무역금융,2025-05-03,52789.1,0.0445,50439.99,소구
FT0145,AR0193,독일법인,OC020,EUR,신한팩토링,2025-01-12,33742.55,0.0279,32801.13,비소구
FT0146,AR0194,독일법인,OC020,EUR,IBK기업은행,2025-01-18,44319.81,0.0231,43296.02,소구
FT0147,AR0196,독일법인,OC020,EUR,신한팩토링,2025-08-17,33230.29,0.0345,32083.84,비소구
FT0148,AR0198,독일법인,OC020,EUR,우리은행 무역금융,2025-02-08,59307.25,0.03,57528.03,소구
FT0149,AR0199,독일법인,OC020,EUR,IBK기업은행,2025-06-19,31296.09,0.02,30670.17,비소구
FT0150,AR0200,독일법인,OC020,EUR,IBK기업은행,2025-02-06,7786.37,0.0254,7588.6,비소구
FT0151,AR0201,독일법인,OC020,EUR,BNP Paribas Factor,2025-07-08,68848.66,0.0399,66101.6,소구
FT0152,AR0202,베트남법인,OC021,VND,HSBC Trade Finance,2025-03-27,730679.35,0.0321,707224.54,비소구
FT0153,AR0203,베트남법인,OC021,VND,BNP Paribas Factor,2025-06-06,596909.87,0.0449,570108.62,비소구
FT0154,AR0204,베트남법인,OC021,VND,우리은행 무역금융,2025-02-26,579124.77,0.0151,570379.99,소구
FT0155,AR0205,베트남법인,OC021,VND,HSBC Trade Finance,2025-05-04,657699.3,0.0284,639020.64,소구
FT0156,AR0206,베트남법인,OC021,VND,신한팩토링,2025-05-17,89456.06,0.0155,88069.49,소구
FT0157,AR0206,베트남법인,OC021,VND,신한팩토링,2025-05-18,65954.27,0.0394,63355.67,소구
FT0158,AR0208,싱가포르법인,OC022,SGD,신한팩토링,2025-07-10,62471.85,0.0433,59766.82,소구
FT0159,AR0209,싱가포르법인,OC022,SGD,BNP Paribas Factor,2025-01-24,21857.36,0.0173,21479.23,소구
FT0160,AR0209,싱가포르법인,OC022,SGD,신한팩토링,2025-02-01,23653.27,0.0336,22858.52,소구
FT0161,AR0210,싱가포르법인,OC022,SGD,신한팩토링,2025-02-12,11181.78,0.0154,11009.58,비소구
FT0162,AR0214,싱가포르법인,OC022,SGD,BNP Paribas Factor,2025-01-21,74744.48,0.0178,73414.03,비소구
FT0163,AR0217,싱가포르법인,OC022,SGD,신한팩토링,2025-01-22,85737.53,0.0186,84142.81,소구
FT0164,AR0221,중국법인,OC023,CNY,BNP Paribas Factor,2025-06-25,1785869.78,0.0228,1745151.95,비소구
FT0165,AR0222,중국법인,OC023,CNY,우리은행 무역금융,2025-05-26,1475308.1,0.0353,1423229.72,소구
FT0166,AR0225,중국법인,OC023,CNY,우리은행 무역금융,2025-05-30,2535032.26,0.0283,2463290.85,소구
FT0167,AR0227,중국법인,OC023,CNY,IBK기업은행,2025-03-03,858692.25,0.029,833790.17,소구
FT0168,AR0229,중국법인,OC023,CNY,BNP Paribas Factor,2025-04-18,1227609.34,0.0248,1197164.63,소구
FT0169,AR0230,중국법인,OC023,CNY,BNP Paribas Factor,2025-01-27,476251.98,0.0409,456773.27,소구
FT0170,AR0231,중국법인,OC023,CNY,우리은행 무역금융,2025-04-12,1345113.57,0.0237,1313234.38,소구
FT0171,AR0234,미국법인,OC024,USD,IBK기업은행,2025-05-30,53728.58,0.0348,51858.83,비소구
FT0172,AR0235,미국법인,OC024,USD,HSBC Trade Finance,2025-05-20,43695.71,0.0338,42218.8,소구
FT0173,AR0237,미국법인,OC024,USD,BNP Paribas Factor,2025-02-13,11039.92,0.0305,10703.2,소구
FT0174,AR0239,미국법인,OC024,USD,IBK기업은행,2025-02-16,48282.07,0.0318,46746.7,소구
FT0175,AR0240,미국법인,OC024,USD,신한팩토링,2025-07-03,4569.74,0.0207,4475.15,소구
FT0176,AR0241,미국법인,OC024,USD,우리은행 무역금융,2025-07-11,41680.71,0.043,39888.44,소구
FT0177,AR0243,미국법인,OC024,USD,HSBC Trade Finance,2025-05-31,35097.76,0.0396,33707.89,소구
FT0178,AR0244,미국법인,OC024,USD,IBK기업은행,2025-06-12,93282.21,0.015,91882.98,소구
FT0179,AR0245,미국법인,OC024,USD,BNP Paribas Factor,2025-08-29,11169.83,0.0388,10736.44,소구
FT0180,AR0246,싱가포르법인,OC025,SGD,신한팩토링,2025-07-21,31341.84,0.0378,30157.12,소구
FT0181,AR0247,싱가포르법인,OC025,SGD,BNP Paribas Factor,2025-03-11,24277.37,0.0344,23442.23,소구
FT0182,AR0248,싱가포르법인,OC025,SGD,IBK기업은행,2025-05-30,51690.19,0.0216,50573.68,소구
FT0183,AR0250,싱가포르법인,OC025,SGD,IBK기업은행,2025-04-02,67931.54,0.0177,66729.15,비소구
FT0184,AR0251,싱가포르법인,OC025,SGD,IBK기업은행,2025-03-22,19024.23,0.0241,18565.75,비소구
FT0185,AR0252,싱가포르법인,OC025,SGD,IBK기업은행,2025-06-29,36751.97,0.0354,35450.95,소구
FT0186,AR0254,싱가포르법인,OC025,SGD,IBK기업은행,2025-03-02,68093.1,0.0302,66036.69,소구
FT0187,AR0255,싱가포르법인,OC025,SGD,BNP Paribas Factor,2025-02-27,72865.15,0.0313,70584.47,소구
FT0188,AR0257,싱가포르법인,OC025,SGD,신한팩토링,2025-07-05,12263.34,0.0422,11745.83,비소구
FT0189,AR0260,싱가포르법인,OC026,SGD,HSBC Trade Finance,2025-06-08,50881.17,0.0254,49588.79,비소구
FT0190,AR0261,싱가포르법인,OC026,SGD,BNP Paribas Factor,2025-06-15,74444.55,0.0163,73231.1,소구
FT0191,AR0262,싱가포르법인,OC026,SGD,IBK기업은행,2025-04-08,40126.26,0.0299,38926.48,소구
FT0192,AR0263,싱가포르법인,OC026,SGD,HSBC Trade Finance,2025-03-09,38601.18,0.0442,36895.01,비소구
FT0193,AR0264,싱가포르법인,OC026,SGD,BNP Paribas Factor,2025-03-14,111650.95,0.0429,106861.12,소구
FT0194,AR0266,싱가포르법인,OC026,SGD,BNP Paribas Factor,2025-06-11,94657.35,0.0447,90426.17,비소구
FT0195,AR0267,싱가포르법인,OC026,SGD,HSBC Trade Finance,2025-02-09,62945.86,0.0302,61044.9,비소구
FT0196,AR0268,싱가포르법인,OC026,SGD,HSBC Trade Finance,2025-01-23,31464.69,0.0317,30467.26,비소구
FT0197,AR0271,독일법인,OC027,EUR,BNP Paribas Factor,2025-05-30,9108.37,0.039,8753.14,소구
FT0198,AR0273,독일법인,OC027,EUR,BNP Paribas Factor,2025-08-04,58205.37,0.0288,56529.06,소구
FT0199,AR0274,독일법인,OC027,EUR,HSBC Trade Finance,2025-07-28,15516.99,0.0419,14866.83,소구
FT0200,AR0275,독일법인,OC027,EUR,IBK기업은행,2025-07-20,23047.8,0.0392,22144.33,소구
FT0201,AR0276,독일법인,OC027,EUR,신한팩토링,2025-04-13,15580.18,0.019,15284.16,비소구
FT0202,AR0278,중국법인,OC028,CNY,HSBC Trade Finance,2025-01-11,1981263.19,0.0176,1946392.96,소구
FT0203,AR0279,중국법인,OC028,CNY,신한팩토링,2025-05-02,194322.9,0.0239,189678.58,비소구
FT0204,AR0281,중국법인,OC028,CNY,HSBC Trade Finance,2025-01-29,2122394.79,0.0211,2077612.26,소구
FT0205,AR0282,중국법인,OC028,CNY,IBK기업은행,2025-05-28,308803.6,0.0269,300496.78,비소구
FT0206,AR0283,중국법인,OC028,CNY,BNP Paribas Factor,2025-03-29,336121.34,0.0267,327146.9,소구
FT0207,AR0283,중국법인,OC028,CNY,BNP Paribas Factor,2025-04-07,344641.89,0.0275,335164.24,소구
FT0208,AR0284,중국법인,OC028,CNY,신한팩토링,2025-07-31,764532.17,0.0297,741825.56,비소구
FT0209,AR0285,중국법인,OC028,CNY,우리은행 무역금융,2025-05-09,724245.87,0.0345,699259.39,소구
FT0210,AR0286,중국법인,OC028,CNY,IBK기업은행,2025-03-05,2226376.97,0.0436,2129306.93,비소구
FT0211,AR0289,미국법인,OC029,USD,BNP Paribas Factor,2025-04-22,28443.07,0.04,27305.35,비소구
FT0212,AR0290,미국법인,OC029,USD,IBK기업은행,2025-08-12,30991.07,0.022,30309.27,소구
FT0213,AR0291,미국법인,OC029,USD,HSBC Trade Finance,2025-05-01,27915.62,0.02,27357.31,비소구
FT0214,AR0292,미국법인,OC029,USD,우리은행 무역금융,2025-02-07,48482.39,0.0309,46984.28,비소구
FT0215,AR0293,미국법인,OC030,USD,신한팩토링,2025-02-13,24571.74,0.0245,23969.73,비소구
FT0216,AR0293,미국법인,OC030,USD,HSBC Trade Finance,2025-02-07,12337.77,0.019,12103.35,소구
FT0217,AR0295,미국법인,OC030,USD,IBK기업은행,2025-08-02,97296.25,0.0331,94075.74,소구
FT0218,AR0297,미국법인,OC030,USD,HSBC Trade Finance,2025-06-26,62854.35,0.0176,61748.11,소구
FT0219,AR0298,미국법인,OC030,USD,HSBC Trade Finance,2025-01-24,19516.24,0.0297,18936.61,소구
FT0220,AR0299,미국법인,OC030,USD,BNP Paribas Factor,2025-05-13,34382.92,0.0328,33255.16,비소구
FT0221,AR0303,미국법인,OC030,USD,IBK기업은행,2025-02-01,54429.5,0.0228,53188.51,소구
FT0222,AR0304,미국법인,OC030,USD,BNP Paribas Factor,2025-02-24,97737.17,0.0299,94814.83,소구
FT0223,AR0306,독일법인,OC031,EUR,IBK기업은행,2025-01-25,19589.5,0.0401,18803.96,소구
FT0224,AR0307,독일법인,OC031,EUR,우리은행 무역금융,2025-01-29,30250.34,0.0258,29469.88,비소구
FT0225,AR0309,독일법인,OC031,EUR,IBK기업은행,2025-06-07,52267.87,0.0241,51008.21,소구
FT0226,AR0310,독일법인,OC031,EUR,IBK기업은행,2025-06-16,67902.81,0.0162,66802.78,소구
FT0227,AR0312,독일법인,OC031,EUR,HSBC Trade Finance,2025-07-22,66834.34,0.0154,65805.09,비소구
FT0228,AR0313,독일법인,OC031,EUR,BNP Paribas Factor,2025-04-14,21150.96,0.0305,20505.86,비소구
FT0229,AR0314,독일법인,OC031,EUR,HSBC Trade Finance,2025-08-09,78668.72,0.0377,75702.91,비소구
FT0230,AR0315,독일법인,OC031,EUR,BNP Paribas Factor,2025-02-24,28423.46,0.0152,27991.42,소구
FT0231,AR0317,독일법인,OC031,EUR,HSBC Trade Finance,2025-05-07,65564.95,0.0439,62686.65,비소구
FT0232,AR0319,싱가포르법인,OC032,SGD,BNP Paribas Factor,2025-03-09,76437.66,0.0292,74205.68,소구
FT0233,AR0320,싱가포르법인,OC032,SGD,IBK기업은행,2025-04-14,57927.98,0.0178,56896.86,소구
FT0234,AR0321,싱가포르법인,OC032,SGD,우리은행 무역금융,2025-07-18,44154.82,0.0248,43059.78,소구
FT0235,AR0321,싱가포르법인,OC032,SGD,IBK기업은행,2025-07-29,28561.46,0.0377,27484.69,비소구
FT0236,AR0322,싱가포르법인,OC032,SGD,우리은행 무역금융,2025-04-03,43006.5,0.0245,41952.84,비소구
FT0237,AR0323,싱가포르법인,OC032,SGD,BNP Paribas Factor,2025-01-19,54839.93,0.0294,53227.64,소구
