회수ID,채권ID,법인명,고객ID,회수일자,회수금액,통화
RC0056,AR0056,중국법인,OC005,2025-06-30,2417409.0,CNY
RC0057,AR0057,독일법인,OC006,2025-03-06,29661.64,EUR
RC0058,AR0057,독일법인,OC006,2025-05-28,29661.63,EUR
RC0059,AR0058,독일법인,OC006,2025-06-30,50697.58,EUR
RC0060,AR0059,독일법인,OC006,2025-06-30,58212.84,EUR
RC0061,AR0059,독일법인,OC006,2025-06-09,58212.85,EUR
RC0062,AR0060,독일법인,OC006,2025-04-25,34200.04,EUR
RC0063,AR0061,독일법인,OC006,2025-06-30,32977.55,EUR
RC0064,AR0061,독일법인,OC006,2025-06-30,32977.55,EUR
RC0065,AR0062,독일법인,OC006,2025-06-01,58513.57,EUR
RC0066,AR0064,독일법인,OC006,2025-06-16,18697.58,EUR
RC0067,AR0064,독일법인,OC006,2025-06-16,18697.59,EUR
RC0068,AR0065,독일법인,OC006,2025-06-30,20619.94,EUR
RC0069,AR0065,독일법인,OC006,2025-06-26,20619.94,EUR
RC0070,AR0066,독일법인,OC006,2025-05-10,20819.35,EUR
RC0071,AR0066,독일법인,OC006,2025-06-09,20819.35,EUR
RC0072,AR0067,베트남법인,OC007,2025-06-30,879978.0,VND
RC0073,AR0067,베트남법인,OC007,2025-06-30,879978.0,VND
RC0074,AR0071,베트남법인,OC007,2025-06-30,1414740.0,VND
RC0075,AR0072,베트남법인,OC007,2025-06-30,2907402.0,VND
RC0076,AR0073,베트남법인,OC007,2025-06-30,213536.25,VND
RC0077,AR0073,베트남법인,OC007,2025-06-30,213536.25,VND
RC0078,AR0074,중국법인,OC008,2025-06-30,2316878.0,CNY
RC0079,AR0075,중국법인,OC008,2025-06-30,1586144.0,CNY
RC0080,AR0076,중국법인,OC008,2025-04-30,2612924.0,CNY
RC0081,AR0077,중국법인,OC008,2025-04-05,502995.25,CNY
RC0082,AR0077,중국법인,OC008,2025-03-27,502995.25,CNY
RC0083,AR0078,중국법인,OC008,2025-06-30,304782.5,CNY
RC0084,AR0078,중국법인,OC008,2025-06-30,304782.5,CNY
RC0085,AR0079,중국법인,OC008,2025-06-30,1222687.0,CNY
RC0086,AR0080,중국법인,OC008,2025-04-10,1340822.5,CNY
RC0087,AR0080,중국법인,OC008,2025-04-13,1340822.5,CNY
RC0088,AR0082,중국법인,OC008,2025-06-30,1211966.0,CNY
RC0089,AR0083,싱가포르법인,OC009,2025-06-19,95132.73,SGD
RC0090,AR0084,싱가포르법인,OC009,2025-06-30,53689.34,SGD
RC0091,AR0086,싱가포르법인,OC009,2025-06-30,66387.53,SGD
RC0092,AR0087,싱가포르법인,OC009,2025-06-30,54850.24,SGD
RC0093,AR0088,싱가포르법인,OC009,2025-06-30,4226.88,SGD
RC0094,AR0089,싱가포르법인,OC009,2025-06-13,7812.76,SGD
RC0095,AR0089,싱가포르법인,OC009,2025-05-14,7812.76,SGD
RC0096,AR0090,싱가포르법인,OC009,2025-06-30,12995.83,SGD
RC0097,AR0090,싱가포르법인,OC009,2025-06-30,12995.83,SGD
RC0098,AR0092,싱가포르법인,OC009,2025-06-30,41426.2,SGD
RC0099,AR0092,싱가포르법인,OC009,2025-06-30,41426.21,SGD
RC0100,AR0093,싱가포르법인,OC010,2025-05-10,12725.63,SGD
RC0101,AR0093,싱가포르법인,OC010,2025-06-30,12725.63,SGD
RC0102,AR0094,싱가포르법인,OC010,2025-05-07,56812.07,SGD
RC0103,AR0095,싱가포르법인,OC010,2025-02-05,51390.76,SGD
RC0104,AR0096,싱가포르법인,OC010,2025-04-13,73844.68,SGD
RC0105,AR0098,싱가포르법인,OC010,2025-06-15,27178.46,SGD
RC0106,AR0098,싱가포르법인,OC010,2025-06-30,27178.46,SGD
RC0107,AR0099,싱가포르법인,OC010,2025-06-30,23920.76,SGD
RC0108,AR0099,싱가포르법인,OC010,2025-06-30,23920.77,SGD
RC0109,AR0101,싱가포르법인,OC010,2025-06-30,43165.87,SGD
RC0110,AR0101,싱가포르법인,OC010,2025-06-30,43165.87,SGD
RC0111,AR0102,싱가포르법인,OC010,2025-06-22,3078.7,SGD
RC0112,AR0104,중국법인,OC011,2025-06-30,1505454.0,CNY
RC0113,AR0105,중국법인,OC011,2025-06-30,1156582.0,CNY
RC0114,AR0105,중국법인,OC011,2025-06-30,1156582.0,CNY
RC0115,AR0109,중국법인,OC011,2025-06-30,1206657.5,CNY
RC0116,AR0109,중국법인,OC011,2025-06-30,1206657.5,CNY
RC0117,AR0110,중국법인,OC011,2025-04-27,1113943.5,CNY
RC0118,AR0110,중국법인,OC011,2025-06-30,1113943.5,CNY
RC0119,AR0111,중국법인,OC011,2025-06-30,910492.5,CNY
RC0120,AR0111,중국법인,OC011,2025-06-30,910492.5,CNY
RC0121,AR0115,싱가포르법인,OC012,2025-04-12,20945.29,SGD
RC0122,AR0115,싱가포르법인,OC012,2025-06-30,20945.29,SGD
RC0123,AR0118,싱가포르법인,OC012,2025-06-30,52163.33,SGD
RC0124,AR0118,싱가포르법인,OC012,2025-06-30,52163.33,SGD
RC0125,AR0121,미국법인,OC013,2025-06-30,48627.55,USD
RC0126,AR0122,미국법인,OC013,2025-04-16,6146.2,USD
RC0127,AR0122,미국법인,OC013,2025-06-02,6146.21,USD
RC0128,AR0123,미국법인,OC013,2025-06-30,106686.07,USD
RC0129,AR0124,미국법인,OC013,2025-06-30,29193.21,USD
RC0130,AR0124,미국법인,OC013,2025-06-30,29193.21,USD
RC0131,AR0125,미국법인,OC013,2025-06-30,54871.84,USD
RC0132,AR0126,미국법인,OC013,2025-06-30,22220.85,USD
RC0133,AR0126,미국법인,OC013,2025-06-08,22220.85,USD
RC0134,AR0128,미국법인,OC013,2025-06-19,19896.94,USD
RC0135,AR0128,미국법인,OC013,2025-04-28,19896.94,USD
RC0136,AR0129,미국법인,OC013,2025-06-30,29505.82,USD
RC0137,AR0129,미국법인,OC013,2025-06-30,29505.82,USD
RC0138,AR0130,미국법인,OC013,2025-06-17,105689.27,USD
RC0139,AR0132,미국법인,OC013,2025-06-30,9262.8,USD
RC0140,AR0132,미국법인,OC013,2025-06-30,9262.8,USD
RC0141,AR0135,베트남법인,OC014,2025-06-30,737497.5,VND
RC0142,AR0135,베트남법인,OC014,2025-06-19,737497.5,VND
RC0143,AR0136,베트남법인,OC014,2025-06-30,2054569.0,VND
RC0144,AR0139,미국법인,OC015,2025-06-30,105786.17,USD
RC0145,AR0143,미국법인,OC015,2025-06-30,47136.56,USD
RC0146,AR0143,미국법인,OC015,2025-06-30,47136.57,USD
RC0147,AR0144,미국법인,OC015,2025-06-30,37862.34,USD
RC0148,AR0144,미국법인,OC015,2025-06-30,37862.34,USD
RC0149,AR0145,미국법인,OC015,2025-03-27,53218.16,USD
RC0150,AR0146,미국법인,OC015,2025-06-02,25135.12,USD
RC0151,AR0147,미국법인,OC015,2025-04-13,12858.63,USD
RC0152,AR0151,독일법인,OC016,2025-04-22,41517.57,EUR
RC0153,AR0152,독일법인,OC016,2025-06-27,13604.8,EUR
RC0154,AR0152,독일법인,OC016,2025-05-02,13604.8,EUR
RC0155,AR0153,독일법인,OC016,2025-06-30,3078.72,EUR
RC0156,AR0153,독일법인,OC016,2025-06-30,3078.72,EUR
RC0157,AR0154,독일법인,OC016,2025-06-30,14249.49,EUR
RC0158,AR0155,독일법인,OC016,2025-06-30,34373.53,EUR
RC0159,AR0156,중국법인,OC017,2025-06-30,1474109.0,CNY
RC0160,AR0157,중국법인,OC017,2025-06-30,407715.5,CNY
RC0161,AR0157,중국법인,OC017,2025-06-30,407715.5,CNY
RC0162,AR0159,중국법인,OC017,2025-06-06,809082.5,CNY
RC0163,AR0160,중국법인,OC017,2025-06-30,2260575.0,CNY
RC0164,AR0161,중국법인,OC017,2025-06-03,633845.0,CNY
RC0165,AR0161,중국법인,OC017,2025-06-30,633845.0,CNY
RC0166,AR0163,중국법인,OC017,2025-03-31,569287.0,CNY
RC0167,AR0163,중국법인,OC017,2025-05-13,569287.0,CNY
RC0168,AR0164,중국법인,OC017,2025-03-17,579447.25,CNY
RC0169,AR0164,중국법인,OC017,2025-06-30,579447.25,CNY
RC0170,AR0166,중국법인,OC017,2025-06-30,1589231.0,CNY
RC0171,AR0167,중국법인,OC017,2025-06-30,230429.5,CNY
RC0172,AR0167,중국법인,OC017,2025-06-30,230429.5,CNY
RC0173,AR0168,싱가포르법인,OC018,2025-06-14,31746.77,SGD
RC0174,AR0168,싱가포르법인,OC018,2025-03-19,31746.77,SGD
RC0175,AR0169,싱가포르법인,OC018,2025-05-06,51818.52,SGD
RC0176,AR0169,싱가포르법인,OC018,2025-06-30,51818.52,SGD
RC0177,AR0170,싱가포르법인,OC018,2025-04-25,26493.14,SGD
RC0178,AR0170,싱가포르법인,OC018,2025-06-18,26493.14,SGD
RC0179,AR0171,싱가포르법인,OC018,2025-06-30,10196.02,SGD
RC0180,AR0171,싱가포르법인,OC018,2025-06-30,10196.01,SGD
RC0181,AR0172,싱가포르법인,OC018,2025-06-30,14024.25,SGD
RC0182,AR0173,싱가포르법인,OC018,2025-06-30,27828.14,SGD
RC0183,AR0174,싱가포르법인,OC018,2025-06-30,24626.58,SGD
RC0184,AR0175,싱가포르법인,OC018,2025-06-30,42290.86,SGD
RC0185,AR0175,싱가포르법인,OC018,2025-06-30,42290.85,SGD
RC0186,AR0176,싱가포르법인,OC018,2025-06-30,4370.56,SGD
RC0187,AR0176,싱가포르법인,OC018,2025-06-30,4370.57,SGD
RC0188,AR0177,싱가포르법인,OC018,2025-06-24,30903.81,SGD
RC0189,AR0178,싱가포르법인,OC018,2025-04-24,29782.7,SGD
RC0190,AR0179,독일법인,OC019,2025-05-08,109359.15,EUR
RC0191,AR0180,독일법인,OC019,2025-06-30,55653.85,EUR
RC0192,AR0182,독일법인,OC019,2025-01-25,20326.88,EUR
RC0193,AR0182,독일법인,OC019,2025-04-27,20326.89,EUR
RC0194,AR0183,독일법인,OC019,2025-06-30,59014.69,EUR
RC0195,AR0183,독일법인,OC019,2025-06-30,59014.69,EUR
RC0196,AR0188,독일법인,OC019,2025-06-22,29438.35,EUR
RC0197,AR0188,독일법인,OC019,2025-06-30,29438.35,EUR
RC0198,AR0192,독일법인,OC020,2025-06-30,14147.11,EUR
RC0199,AR0192,독일법인,OC020,2025-06-30,14147.11,EUR
RC0200,AR0194,독일법인,OC020,2025-02-05,29353.22,EUR
RC0201,AR0194,독일법인,OC020,2025-03-02,29353.21,EUR
RC0202,AR0195,독일법인,OC020,2025-06-30,15692.84,EUR
RC0203,AR0197,독일법인,OC020,2025-06-30,109989.78,EUR
RC0204,AR0199,독일법인,OC020,2025-06-30,33476.38,EUR
RC0205,AR0199,독일법인,OC020,2025-06-30,33476.38,EUR
RC0206,AR0200,독일법인,OC020,2025-06-03,6863.95,EUR
RC0207,AR0203,베트남법인,OC021,2025-06-30,830470.0,VND
RC0208,AR0205,베트남법인,OC021,2025-06-30,533296.5,VND
RC0209,AR0206,베트남법인,OC021,2025-06-10,205269.0,VND
RC0210,AR0207,베트남법인,OC021,2025-06-09,806898.0,VND
RC0211,AR0208,싱가포르법인,OC022,2025-06-30,88329.2,SGD
RC0212,AR0210,싱가포르법인,OC022,2025-02-20,18540.8,SGD
RC0213,AR0211,싱가포르법인,OC022,2025-06-30,84291.26,SGD
RC0214,AR0213,싱가포르법인,OC022,2025-05-02,36174.2,SGD
RC0215,AR0214,싱가포르법인,OC022,2025-05-11,48448.79,SGD
RC0216,AR0215,싱가포르법인,OC022,2025-06-30,95114.06,SGD
RC0217,AR0217,싱가포르법인,OC022,2025-06-03,53334.74,SGD
RC0218,AR0217,싱가포르법인,OC022,2025-04-01,53334.75,SGD
RC0219,AR0219,싱가포르법인,OC022,2025-06-30,112407.01,SGD
RC0220,AR0220,싱가포르법인,OC022,2025-06-30,44021.09,SGD
RC0221,AR0222,중국법인,OC023,2025-06-20,1123515.0,CNY
RC0222,AR0222,중국법인,OC023,2025-06-20,1123515.0,CNY
RC0223,AR0223,중국법인,OC023,2025-06-28,884408.0,CNY
RC0224,AR0224,중국법인,OC023,2025-05-29,2280115.0,CNY
RC0225,AR0225,중국법인,OC023,2025-06-30,1359497.5,CNY
RC0226,AR0225,중국법인,OC023,2025-06-30,1359497.5,CNY
RC0227,AR0226,중국법인,OC023,2025-06-26,1430625.5,CNY
RC0228,AR0228,중국법인,OC023,2025-06-08,114092.5,CNY
RC0229,AR0228,중국법인,OC023,2025-06-30,114092.5,CNY
RC0230,AR0229,중국법인,OC023,2025-05-14,723384.0,CNY
RC0231,AR0229,중국법인,OC023,2025-06-30,723384.0,CNY
RC0232,AR0230,중국법인,OC023,2025-05-15,1104922.0,CNY
RC0233,AR0233,미국법인,OC024,2025-06-30,25439.01,USD
RC0234,AR0233,미국법인,OC024,2025-06-30,25439.01,USD
RC0235,AR0234,미국법인,OC024,2025-06-30,17867.21,USD
RC0236,AR0234,미국법인,OC024,2025-06-17,17867.21,USD
RC0237,AR0235,미국법인,OC024,2025-06-12,61275.88,USD
RC0238,AR0237,미국법인,OC024,2025-05-24,15518.29,USD
RC0239,AR0238,미국법인,OC024,2025-06-30,44488.54,USD
RC0240,AR0238,미국법인,OC024,2025-06-30,44488.53,USD
RC0241,AR0239,미국법인,OC024,2025-06-30,75258.83,USD
RC0242,AR0240,미국법인,OC024,2025-06-30,3063.21,USD
RC0243,AR0240,미국법인,OC024,2025-06-30,3063.21,USD
RC0244,AR0241,미국법인,OC024,2025-06-30,25889.22,USD
RC0245,AR0242,미국법인,OC024,2025-06-30,119580.26,USD
RC0246,AR0243,미국법인,OC024,2025-06-30,14723.74,USD
RC0247,AR0243,미국법인,OC024,2025-06-30,14723.75,USD
RC0248,AR0244,미국법인,OC024,2025-06-30,25216.9,USD
RC0249,AR0244,미국법인,OC024,2025-06-30,25216.9,USD
RC0250,AR0245,미국법인,OC024,2025-06-30,10790.2,USD
RC0251,AR0245,미국법인,OC024,2025-06-30,10790.21,USD
RC0252,AR0246,싱가포르법인,OC025,2025-06-30,16862.2,SGD
RC0253,AR0246,싱가포르법인,OC025,2025-06-30,16862.19,SGD
RC0254,AR0248,싱가포르법인,OC025,2025-06-30,81631.15,SGD
RC0255,AR0249,싱가포르법인,OC025,2025-06-30,16813.74,SGD
RC0256,AR0249,싱가포르법인,OC025,2025-06-30,16813.73,SGD
RC0257,AR0250,싱가포르법인,OC025,2025-06-09,94731.28,SGD
RC0258,AR0255,싱가포르법인,OC025,2025-03-17,50280.0,SGD
RC0259,AR0255,싱가포르법인,OC025,2025-04-10,50280.01,SGD
RC0260,AR0261,싱가포르법인,OC026,2025-06-30,52567.67,SGD
RC0261,AR0261,싱가포르법인,OC026,2025-06-19,52567.67,SGD
RC0262,AR0262,싱가포르법인,OC026,2025-05-14,27998.84,SGD
RC0263,AR0263,싱가포르법인,OC026,2025-06-07,85566.36,SGD
RC0264,AR0264,싱가포르법인,OC026,2025-06-28,56272.91,SGD
RC0265,AR0264,싱가포르법인,OC026,2025-06-30,56272.91,SGD
RC0266,AR0267,싱가포르법인,OC026,2025-03-23,92202.28,SGD
RC0267,AR0269,싱가포르법인,OC026,2025-03-28,7931.87,SGD
RC0268,AR0270,싱가포르법인,OC026,2025-03-09,43599.48,SGD
RC0269,AR0270,싱가포르법인,OC026,2025-03-15,43599.48,SGD
RC0270,AR0271,독일법인,OC027,2025-06-30,5092.91,EUR
RC0271,AR0273,독일법인,OC027,2025-06-30,59788.97,EUR
RC0272,AR0275,독일법인,OC027,2025-06-30,13636.69,EUR
RC0273,AR0275,독일법인,OC027,2025-06-30,13636.69,EUR
RC0274,AR0278,중국법인,OC028,2025-05-16,630370.5,CNY
RC0275,AR0278,중국법인,OC028,2025-03-10,630370.5,CNY
RC0276,AR0279,중국법인,OC028,2025-06-30,324928.0,CNY
RC0277,AR0283,중국법인,OC028,2025-04-17,240295.25,CNY
RC0278,AR0283,중국법인,OC028,2025-06-30,240295.25,CNY
RC0279,AR0285,중국법인,OC028,2025-06-30,718669.5,CNY
RC0280,AR0285,중국법인,OC028,2025-06-30,718669.5,CNY
RC0281,AR0286,중국법인,OC028,2025-06-23,1226712.0,CNY
RC0282,AR0286,중국법인,OC028,2025-05-13,1226712.0,CNY
RC0283,AR0288,미국법인,OC029,2025-06-30,58422.58,USD
RC0284,AR0289,미국법인,OC029,2025-06-30,65929.61,USD
RC0285,AR0292,미국법인,OC029,2025-03-17,27912.83,USD
RC0286,AR0292,미국법인,OC029,2025-04-05,27912.83,USD
RC0287,AR0293,미국법인,OC030,2025-04-19,22575.41,USD
RC0288,AR0293,미국법인,OC030,2025-03-01,22575.41,USD
RC0289,AR0294,미국법인,OC030,2025-03-28,46029.14,USD
RC0290,AR0295,미국법인,OC030,2025-06-30,102976.01,USD
RC0291,AR0297,미국법인,OC030,2025-06-30,53658.78,USD
RC0292,AR0297,미국법인,OC030,2025-06-30,53658.79,USD
RC0293,AR0298,미국법인,OC030,2025-03-13,26059.99,USD
RC0294,AR0300,미국법인,OC030,2025-05-13,36904.98,USD
RC0295,AR0301,미국법인,OC030,2025-06-30,40000.83,USD
RC0296,AR0302,미국법인,OC030,2025-06-30,14539.14,USD
RC0297,AR0302,미국법인,OC030,2025-04-30,14539.14,USD
RC0298,AR0303,미국법인,OC030,2025-03-21,28301.2,USD
RC0299,AR0303,미국법인,OC030,2025-06-06,28301.21,USD
RC0300,AR0306,독일법인,OC031,2025-02-16,45870.78,EUR
RC0301,AR0307,독일법인,OC031,2025-03-12,19834.74,EUR
RC0302,AR0307,독일법인,OC031,2025-05-21,19834.73,EUR
RC0303,AR0308,독일법인,OC031,2025-06-30,7350.88,EUR
RC0304,AR0308,독일법인,OC031,2025-06-22,7350.88,EUR
RC0305,AR0309,독일법인,OC031,2025-06-30,28234.18,EUR
RC0306,AR0310,독일법인,OC031,2025-06-30,112635.47,EUR
RC0307,AR0312,독일법인,OC031,2025-06-30,52529.41,EUR
RC0308,AR0312,독일법인,OC031,2025-06-30,52529.41,EUR
RC0309,AR0313,독일법인,OC031,2025-06-04,11658.58,EUR
RC0310,AR0313,독일법인,OC031,2025-05-18,11658.59,EUR
RC0311,AR0315,독일법인,OC031,2025-05-20,55600.52,EUR
RC0312,AR0316,독일법인,OC031,2025-03-31,92857.0,EUR
RC0313,AR0317,독일법인,OC031,2025-06-30,97400.7,EUR
RC0314,AR0320,싱가포르법인,OC032,2025-06-29,29702.97,SGD
RC0315,AR0320,싱가포르법인,OC032,2025-06-30,29702.97,SGD
RC0316,AR0321,싱가포르법인,OC032,2025-06-30,53282.42,SGD
RC0317,AR0321,싱가포르법인,OC032,2025-06-30,53282.41,SGD
RC0318,AR0322,싱가포르법인,OC032,2025-06-30,45507.78,SGD
RC0319,AR0323,싱가포르법인,OC032,2025-04-12,48554.12,SGD
RC0320,AR0323,싱가포르법인,OC032,2025-06-30,48554.12,SGD
RC0321,AR0325,싱가포르법인,OC032,2025-06-30,21774.28,SGD
RC0322,AR0325,싱가포르법인,OC032,2025-06-30,21774.27,SGD
RC0323,AR0326,싱가포르법인,OC032,2025-05-22,93362.64,SGD
RC0324,AR0329,싱가포르법인,OC032,2025-05-23,10527.85,SGD
RC0325,AR0329,싱가포르법인,OC032,2025-05-17,10527.85,SGD
RC0326,AR0330,중국법인,OC033,2025-03-11,2206993.0,CNY
RC0327,AR0331,중국법인,OC033,2025-05-20,1773088.0,CNY
RC0328,AR0334,중국법인,OC033,2025-06-23,967969.5,CNY
RC0329,AR0334,중국법인,OC033,2025-06-30,967969.5,CNY
RC0330,AR0336,중국법인,OC033,2025-06-30,356130.0,CNY
RC0331,AR0339,중국법인,OC033,2025-06-30,1016330.0,CNY
RC0332,AR0340,싱가포르법인,OC034,2025-06-21,16609.5,SGD
RC0333,AR0340,싱가포르법인,OC034,2025-05-16,16609.5,SGD
RC0334,AR0341,싱가포르법인,OC034,2025-06-30,23222.42,SGD
RC0335,AR0342,싱가포르법인,OC034,2025-05-08,52333.08,SGD
RC0336,AR0343,싱가포르법인,OC034,2025-03-03,24720.0,SGD
RC0337,AR0343,싱가포르법인,OC034,2025-06-30,24720.0,SGD
RC0338,AR0344,싱가포르법인,OC034,2025-06-29,48283.99,SGD
RC0339,AR0346,싱가포르법인,OC034,2025-06-16,35150.38,SGD
RC0340,AR0347,싱가포르법인,OC034,2025-06-12,35512.76,SGD
RC0341,AR0348,싱가포르법인,OC034,2025-06-30,10786.34,SGD
RC0342,AR0349,싱가포르법인,OC034,2025-05-21,17756.19,SGD
RC0343,AR0349,싱가포르법인,OC034,2025-02-10,17756.19,SGD
RC0344,AR0350,싱가포르법인,OC034,2025-06-30,21341.7,SGD
RC0345,AR0350,싱가포르법인,OC034,2025-04-27,21341.71,SGD
RC0346,AR0351,싱가포르법인,OC034,2025-06-30,19407.72,SGD
RC0347,AR0351,싱가포르법인,OC034,2025-06-30,19407.72,SGD
RC0348,AR0352,싱가포르법인,OC034,2025-01-24,113596.1,SGD
RC0349,AR0353,미국법인,OC035,2025-06-30,53625.09,USD
RC0350,AR0354,미국법인,OC035,2025-05-04,55866.97,USD
RC0351,AR0355,미국법인,OC035,2025-05-22,75645.69,USD
RC0352,AR0356,미국법인,OC035,2025-04-27,53907.93,USD
RC0353,AR0356,미국법인,OC035,2025-04-09,53907.93,USD
RC0354,AR0359,미국법인,OC035,2025-04-07,28802.04,USD
RC0355,AR0359,미국법인,OC035,2025-06-26,28802.04,USD
RC0356,AR0360,미국법인,OC035,2025-06-30,14241.36,USD
RC0357,AR0361,미국법인,OC035,2025-06-30,19478.5,USD
RC0358,AR0361,미국법인,OC035,2025-05-25,19478.5,USD
RC0359,AR0362,미국법인,OC035,2025-06-30,55936.98,USD
RC0360,AR0362,미국법인,OC035,2025-06-28,55936.97,USD
RC0361,AR0363,미국법인,OC035,2025-06-30,10966.87,USD
RC0362,AR0363,미국법인,OC035,2025-06-30,10966.87,USD
RC0363,AR0365,미국법인,OC035,2025-05-25,55507.34,USD
RC0364,AR0365,미국법인,OC035,2025-06-30,55507.33,USD
RC0365,AR0367,독일법인,OC036,2025-04-20,14016.79,EUR
RC0366,AR0367,독일법인,OC036,2025-01-20,14016.79,EUR
RC0367,AR0369,독일법인,OC036,2025-06-30,17102.93,EUR
RC0368,AR0370,독일법인,OC036,2025-06-30,2981.15,EUR
RC0369,AR0370,독일법인,OC036,2025-06-30,2981.15,EUR
RC0370,AR0371,독일법인,OC036,2025-06-30,57992.29,EUR
RC0371,AR0372,독일법인,OC036,2025-03-22,12020.0,EUR
RC0372,AR0372,독일법인,OC036,2025-03-15,12020.01,EUR
RC0373,AR0374,독일법인,OC036,2025-06-30,64688.09,EUR
RC0374,AR0376,독일법인,OC036,2025-06-30,39043.44,EUR
RC0375,AR0376,독일법인,OC036,2025-06-30,39043.44,EUR
RC0376,AR0377,중국법인,OC037,2025-06-30,719402.5,CNY
RC0377,AR0378,중국법인,OC037,2025-06-30,880006.0,CNY
RC0378,AR0379,중국법인,OC037,2025-03-16,137451.25,CNY
RC0379,AR0379,중국법인,OC037,2025-04-20,137451.25,CNY
RC0380,AR0380,중국법인,OC037,2025-06-21,321961.0,CNY
RC0381,AR0380,중국법인,OC037,2025-03-11,321961.0,CNY
RC0382,AR0381,중국법인,OC037,2025-06-30,417643.0,CNY
RC0383,AR0382,중국법인,OC037,2025-06-30,438450.0,CNY
RC0384,AR0382,중국법인,OC037,2025-06-30,438450.0,CNY
RC0385,AR0386,베트남법인,OC038,2025-06-30,931741.5,VND
RC0386,AR0386,베트남법인,OC038,2025-06-30,931741.5,VND
RC0387,AR0389,베트남법인,OC038,2025-06-30,1006297.0,VND
RC0388,AR0391,싱가포르법인,OC039,2025-06-30,25488.38,SGD
